Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
Colombia,21,8,7,2.0,COP,100000000.0,23025.0,4030.0,54.2,0.758,14.4,8.9,89.0
United States,49,35,6,10.0,USD,109.0,109.0,1.0,41.5,0.927,16.4,13.6,21.0
Pakistan,29,10,5,8.0,USD,20000.0,20000.0,1.0,29.6,0.54,7.9,4.4,165.0
United States,49,20,5,15.0,USD,102000.0,102000.0,1.0,41.5,0.927,16.4,13.6,21.0
Chile,29,7,0,5.0,CLP,1250000.0,1562.0,880.0,44.9,0.86,16.8,11.1,42.0
United States,29,10,5,8.0,USD,103800.0,103800.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,32,5,27.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Denmark,39,16,5,12.0,DKK,800000.0,115028.0,6.92,27.7,0.952,18.8,13.0,8.0
India,29,15,5,10.0,INR,3300000.0,39986.0,83.0,35.7,0.644,12.6,6.6,135.0
United Kingdom,29,9,6,3.0,GBP,63000.0,78207.0,0.81,35.1,0.94,17.6,13.4,17.0
India,29,7,5,6.0,INR,1050000.0,12723.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,39,19,6,19.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,39,21,5,15.0,INR,3700000.0,44832.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,29,6,6,4.0,USD,87720.0,87720.0,1.0,41.5,0.927,16.4,13.6,21.0
India,21,5,5,1.0,INR,2000000.0,24234.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,59,11,7,20.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,10,5,1.0,EUR,55000.0,58899.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,29,16,5,10.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,29,9,5,4.0,INR,1853000.0,22453.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,39,34,5,18.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,19,3,13.0,USD,100000.0,100000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,24,6,15.0,EUR,78000.0,83530.0,0.93,31.7,0.95,17.3,14.3,7.0
Israel,49,21,6,20.0,INR,700000.0,8482.0,83.0,38.6,0.915,15.0,13.4,26.0
Hungary,29,10,2,8.0,HUF,20000000.0,58008.0,358.0,30.0,0.851,15.1,12.2,46.0
Canada,21,13,5,4.0,CAD,278000.0,206697.0,1.36,33.3,0.935,16.0,13.9,16.0
Brazil,49,35,5,33.0,BRL,160000.0,32460.0,5.01,48.9,0.76,15.6,8.3,84.0
Malaysia,29,8,5,4.0,MYR,50000.0,10920.0,4.68,41.1,0.807,12.9,10.7,68.0
Russian Federation,29,11,5,5.0,RUB,1200000.0,14851.0,96.5,36.0,0.821,15.7,12.4,55.0
Germany,39,5,5,1.0,EUR,36000.0,38552.0,0.93,31.7,0.95,17.3,14.3,7.0
Mexico,39,16,5,15.0,MXN,320000.0,18320.0,17.1,45.4,0.781,14.5,9.2,83.0
Canada,29,15,5,3.0,CAD,34000.0,25279.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,29,9,5,7.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,29,16,6,10.0,BRL,400000.0,81150.0,5.01,48.9,0.76,15.6,8.3,84.0
United Kingdom,29,10,7,8.0,GBP,65000.0,80690.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,11,6,6.0,USD,135000.0,135000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,11,5,15.0,BRL,91000.0,18462.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,49,16,5,15.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,13,5,7.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Uruguay,39,24,5,15.0,USD,108.0,108.0,1.0,40.2,0.83,17.4,9.1,56.0
United States,39,24,5,18.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,7,5,3.0,USD,89000.0,89000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,28,6,21.0,USD,121000.0,121000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,14,6,11.0,GBP,55000.0,68276.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,10,5,5.0,USD,143000.0,143000.0,1.0,41.5,0.927,16.4,13.6,21.0
Israel,39,15,5,10.0,ILS,492000.0,131501.0,3.8,38.6,0.915,15.0,13.4,26.0
Greece,29,9,2,4.0,EUR,23757.0,25441.0,0.93,33.1,0.893,20.0,11.4,33.0
United Kingdom,29,15,5,10.0,GBP,65000.0,80690.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,29,15,6,8.0,EUR,90000.0,96381.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,49,24,5,22.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
Nigeria,29,6,5,3.0,NGN,1000000.0,2166.0,760.0,35.1,0.548,10.5,7.6,162.0
India,21,6,6,3.0,INR,2000000.0,24234.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,39,26,5,25.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,22,5,17.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,18,6,15.0,EUR,95000.0,101735.0,0.93,31.7,0.95,17.3,14.3,7.0
Austria,29,10,5,9.0,EUR,50000.0,53545.0,0.93,30.2,0.926,16.4,12.3,22.0
Thailand,29,8,5,4.0,THB,840000.0,24156.0,35.5,35.0,0.803,15.6,8.8,69.0
Sweden,29,12,3,11.0,SEK,800000.0,73713.0,11.0,29.3,0.952,19.0,12.7,5.0
Portugal,39,21,6,14.0,EUR,72000.0,77104.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,29,6,6,8.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Belgium,39,26,6,17.0,EUR,144000.0,154209.0,0.93,27.2,0.942,18.9,12.5,13.0
United Kingdom,29,23,6,12.0,GBP,122000.0,151449.0,0.81,35.1,0.94,17.6,13.4,17.0
United Kingdom,49,16,5,36.0,GBP,43500.0,54000.0,0.81,35.1,0.94,17.6,13.4,17.0
Trinidad and Tobago,29,14,5,10.0,TTD,450000.0,66489.0,6.75,40.3,0.814,14.1,11.7,60.0
United States,29,15,5,6.0,USD,77000.0,77000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,21,6,5,5.0,EUR,80000.0,85672.0,0.93,29.2,0.946,18.6,12.6,11.0
Mexico,29,10,5,6.0,USD,80000.0,80000.0,1.0,45.4,0.781,14.5,9.2,83.0
United States,39,4,5,2.0,USD,96000.0,96000.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,39,16,5,15.0,CHF,117000.0,128953.0,0.9,33.1,0.967,16.6,13.9,1.0
Romania,29,15,5,8.0,EUR,68000.0,72821.0,0.93,34.8,0.827,14.5,11.4,52.0
United States,29,21,5,15.0,USD,30000.0,30000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,6,3,5.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,49,21,5,16.0,BRL,200000.0,40575.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,39,24,5,17.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,11,4,7.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
South Africa,59,41,5,30.0,ZAR,768000.0,39837.0,19.2,63.0,0.717,14.3,11.6,105.0
United States,29,10,5,5.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,49,25,6,20.0,CHF,130000.0,143281.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,49,41,3,27.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,39,21,5,5.0,PLN,182000.0,43546.0,4.3,30.2,0.881,15.9,13.2,35.0
Peru,29,6,3,3.0,USD,30000.0,30000.0,1.0,43.8,0.762,14.8,10.0,86.0
United States,29,8,5,6.0,USD,100000.0,100000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,5,6,6.0,GBP,75000.0,93104.0,0.81,35.1,0.94,17.6,13.4,17.0
United Kingdom,29,8,5,8.0,GBP,102000.0,126621.0,0.81,35.1,0.94,17.6,13.4,17.0
France,29,14,6,4.0,EUR,31002.0,33200.0,0.93,32.4,0.91,16.0,11.7,27.0
United Kingdom,29,11,3,6.0,GBP,36333.0,45103.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,29,5,21.0,USD,137500.0,137500.0,1.0,41.5,0.927,16.4,13.6,21.0
Norway,29,9,5,6.0,NOK,733000.0,66419.0,10.7,27.7,0.966,18.6,13.1,2.0
Canada,29,8,3,6.0,CAD,147272.0,109499.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,29,9,5,4.0,USD,221000.0,221000.0,1.0,41.5,0.927,16.4,13.6,21.0
Georgia,39,11,6,14.0,USD,65000.0,65000.0,1.0,34.5,0.814,16.7,12.7,59.0
Canada,39,14,5,9.0,CAD,95000.0,70634.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,39,24,7,22.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,12,5,8.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,11,5,5.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,39,23,3,17.0,PLN,240000.0,57423.0,4.3,30.2,0.881,15.9,13.2,35.0
Ukraine,39,13,5,12.0,USD,22000.0,22000.0,1.0,25.6,0.734,13.3,11.1,86.0
Brazil,29,9,5,8.0,BRL,70000.0,14201.0,5.01,48.9,0.76,15.6,8.3,84.0
Georgia,29,9,5,12.0,GEL,5000.0,1915.0,2.65,34.5,0.814,16.7,12.7,59.0
United States,39,31,3,25.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,9,5,12.0,USD,80000.0,80000.0,1.0,41.5,0.927,16.4,13.6,21.0
Pakistan,21,3,3,2.0,PKR,400000.0,1400.0,287.5,29.6,0.54,7.9,4.4,165.0
United States,39,14,3,12.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,31,4,30.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,11,6,6.0,EUR,68750.0,73624.0,0.93,31.7,0.95,17.3,14.3,7.0
Portugal,39,11,5,7.0,EUR,21500.0,23024.0,0.93,32.8,0.874,16.8,9.6,39.0
Germany,49,21,6,16.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
Brazil,29,11,5,5.0,BRL,78000.0,15824.0,5.01,48.9,0.76,15.6,8.3,84.0
Dominican Republic,39,29,5,15.0,DOP,2429000.0,44433.0,56.7,39.6,0.766,13.6,9.2,84.0
Costa Rica,39,22,5,17.0,CRC,82000.0,153.0,535.0,49.3,0.806,16.1,8.8,60.0
Uruguay,29,11,4,7.0,UYU,2764800.0,71320.0,38.0,40.2,0.83,17.4,9.1,56.0
Norway,39,26,6,11.0,NOK,960000.0,86988.0,10.7,27.7,0.966,18.6,13.1,2.0
United States,39,24,6,15.0,USD,148000.0,148000.0,1.0,41.5,0.927,16.4,13.6,21.0
Sweden,29,14,4,11.0,SEK,612000.0,56391.0,11.0,29.3,0.952,19.0,12.7,5.0
Norway,39,23,6,17.0,NOK,890000.0,80646.0,10.7,27.7,0.966,18.6,13.1,2.0
Germany,39,17,6,16.0,EUR,180000.0,192761.0,0.93,31.7,0.95,17.3,14.3,7.0
Serbia,29,15,6,11.0,RSD,16000000.0,146194.0,109.0,34.5,0.805,14.5,11.5,60.0
United States,39,26,7,15.0,USD,156000.0,156000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,45,5,34.0,USD,165000.0,165000.0,1.0,41.5,0.927,16.4,13.6,21.0
Denmark,29,6,6,5.0,DKK,720000.0,103525.0,6.92,27.7,0.952,18.8,13.0,8.0
France,29,8,5,5.0,EUR,35000.0,37481.0,0.93,32.4,0.91,16.0,11.7,27.0
Germany,39,17,5,15.0,EUR,45000.0,48190.0,0.93,31.7,0.95,17.3,14.3,7.0
Canada,39,21,5,14.0,CAD,97000.0,72121.0,1.36,33.3,0.935,16.0,13.9,16.0
Israel,49,37,5,28.0,ILS,525000.0,140322.0,3.8,38.6,0.915,15.0,13.4,26.0
United States,29,9,5,6.0,USD,185000.0,185000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,20,5,16.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Belgium,29,17,6,10.0,EUR,80000.0,85672.0,0.93,27.2,0.942,18.9,12.5,13.0
United States,39,28,3,20.0,USD,165000.0,165000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,25,5,22.0,BRL,252000.0,51125.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,49,30,5,24.0,USD,162000.0,162000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,10,6,8.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,39,12,5,7.0,EUR,35000.0,37481.0,0.93,35.2,0.906,16.7,10.7,30.0
Brazil,29,3,5,1.0,BRL,108000.0,21911.0,5.01,48.9,0.76,15.6,8.3,84.0
Denmark,39,21,7,12.0,DKK,850000.0,122217.0,6.92,27.7,0.952,18.8,13.0,8.0
Germany,29,14,3,4.0,EUR,42000.0,44978.0,0.93,31.7,0.95,17.3,14.3,7.0
United Arab Emirates,29,14,6,9.0,AED,132000.0,35928.0,3.67,26.0,0.937,17.2,12.8,17.0
United States,29,12,3,9.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,27,3,23.0,CAD,250000.0,185879.0,1.36,33.3,0.935,16.0,13.9,16.0
Argentina,29,13,3,10.0,USD,90000.0,90000.0,1.0,42.3,0.849,19.0,11.1,47.0
Ukraine,21,6,5,5.0,USD,75000.0,75000.0,1.0,25.6,0.734,13.3,11.1,86.0
Norway,39,27,6,20.0,NOK,900000.0,81552.0,10.7,27.7,0.966,18.6,13.1,2.0
Brazil,29,11,5,11.0,BRL,130000.0,26374.0,5.01,48.9,0.76,15.6,8.3,84.0
Germany,39,19,5,11.0,EUR,61500.0,65860.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,39,31,5,12.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,34,5,13.0,EUR,144000.0,154209.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,49,26,6,20.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,12,3,8.0,USD,165000.0,165000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,10,5,3.0,USD,87000.0,87000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,16,5,7.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,17,6,14.0,CAD,140000.0,104092.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,21,9,5,1.0,USD,102500.0,102500.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,21,4,15.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,6,5,1.0,USD,82000.0,82000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,31,3,17.0,USD,220000.0,220000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,21,6,20.0,USD,190000.0,190000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,18,5,15.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,39,14,5,14.0,EUR,60000.0,64254.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,16,5,11.0,USD,195000.0,195000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,29,10,4,4.0,BRL,84000.0,17042.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,59,31,3,32.0,USD,208000.0,208000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,5,3,4.0,USD,72000.0,72000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,11,4,7.0,GBP,50000.0,62069.0,0.81,35.1,0.94,17.6,13.4,17.0
Belgium,29,12,6,0.0,EUR,50000.0,53545.0,0.93,27.2,0.942,18.9,12.5,13.0
United States,39,30,2,26.0,USD,136660.0,136660.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,49,31,5,30.0,BRL,312000.0,63297.0,5.01,48.9,0.76,15.6,8.3,84.0
Sweden,29,12,6,6.0,SEK,850000.0,78320.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,39,16,7,10.0,USD,205000.0,205000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,21,7,13.0,GBP,65000.0,80690.0,0.81,35.1,0.94,17.6,13.4,17.0
United Kingdom,49,41,2,32.0,GBP,56000.0,69517.0,0.81,35.1,0.94,17.6,13.4,17.0
Israel,29,27,6,11.0,USD,128400.0,128400.0,1.0,38.6,0.915,15.0,13.4,26.0
United States,49,13,6,12.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,10,3,7.0,GBP,100000.0,124138.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,7,6,20.0,USD,208000.0,208000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,14,5,8.0,CAD,155000.0,115245.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,49,31,5,25.0,USD,159000.0,159000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,5,5,2.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,49,40,5,33.0,BRL,170000.0,34489.0,5.01,48.9,0.76,15.6,8.3,84.0
Nigeria,21,2,5,2.0,NGN,60000.0,130.0,760.0,35.1,0.548,10.5,7.6,162.0
Ireland,49,36,6,25.0,EUR,125000.0,133862.0,0.93,30.6,0.95,19.1,11.7,9.0
India,29,6,5,3.0,INR,1000000.0,12117.0,83.0,35.7,0.644,12.6,6.6,135.0
Canada,59,41,5,34.0,CAD,46000.0,34202.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,49,34,5,30.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,26,3,35.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,26,3,17.0,BRL,720000.0,146071.0,5.01,48.9,0.76,15.6,8.3,84.0
Costa Rica,29,21,5,13.0,USD,160000.0,160000.0,1.0,49.3,0.806,16.1,8.8,60.0
United States,39,17,4,16.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,29,5,24.0,USD,126.0,126.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,17,5,10.0,USD,105000.0,105000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,16,5,3.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Colombia,21,4,5,1.0,USD,6000.0,6000.0,1.0,54.2,0.758,14.4,8.9,89.0
Brazil,21,8,3,3.0,BRL,36000.0,7304.0,5.01,48.9,0.76,15.6,8.3,84.0
Canada,29,12,6,6.0,CAD,12000.0,8922.0,1.36,33.3,0.935,16.0,13.9,16.0
Estonia,39,18,5,10.0,EUR,63680.0,68195.0,0.93,30.8,0.899,15.9,13.5,32.0
United States,39,31,5,17.0,USD,193000.0,193000.0,1.0,41.5,0.927,16.4,13.6,21.0
Australia,49,34,5,25.0,AUD,135000.0,89240.0,1.55,34.3,0.946,21.1,12.7,5.0
Peru,49,26,4,23.0,USD,42000.0,42000.0,1.0,43.8,0.762,14.8,10.0,86.0
United States,39,11,6,17.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,17,6,12.0,USD,108000.0,108000.0,1.0,41.5,0.927,16.4,13.6,21.0
Australia,29,13,4,4.0,AUD,45000.0,29747.0,1.55,34.3,0.946,21.1,12.7,5.0
Brazil,39,26,6,22.0,BRL,196000.0,39764.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,21,9,3,1.0,USD,65000.0,65000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,0,11,5,5.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Morocco,29,4,4,3.0,MAD,10000.0,985.0,10.2,39.5,0.698,14.6,6.1,122.0
United States,39,18,4,13.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,13,5,10.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Nigeria,49,4,3,31.0,NGN,1500000.0,3249.0,760.0,35.1,0.548,10.5,7.6,162.0
United States,39,26,5,15.0,USD,134000.0,134000.0,1.0,41.5,0.927,16.4,13.6,21.0
Mexico,39,4,6,1.0,MXN,140000.0,8015.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,39,27,6,18.0,USD,88000.0,88000.0,1.0,41.5,0.927,16.4,13.6,21.0
Mexico,29,11,3,5.0,MXN,1216000.0,69615.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,29,8,5,3.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,22,6,15.0,USD,133000.0,133000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,15,5,10.0,USD,190000.0,190000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,10,5,3.0,CAD,125000.0,92939.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,29,7,5,5.0,USD,42000.0,42000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,19,5,17.0,USD,100200.0,100200.0,1.0,48.9,0.76,15.6,8.3,84.0
United States,39,29,4,25.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Mexico,29,4,2,2.0,MXN,600000.0,34350.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,39,11,6,20.0,USD,97000.0,97000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,41,3,36.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,26,5,12.0,USD,222000.0,222000.0,1.0,41.5,0.927,16.4,13.6,21.0
Costa Rica,49,24,3,20.0,CRC,44200000.0,82285.0,535.0,49.3,0.806,16.1,8.8,60.0
Brazil,29,4,3,0.0,BRL,42000.0,8521.0,5.01,48.9,0.76,15.6,8.3,84.0
Austria,29,12,6,9.0,EUR,32500.0,34804.0,0.93,30.2,0.926,16.4,12.3,22.0
United States,29,14,6,9.0,USD,195000.0,195000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,8,5,6.0,USD,230000.0,230000.0,1.0,41.5,0.927,16.4,13.6,21.0
Australia,39,21,7,20.0,AUD,300000.0,198312.0,1.55,34.3,0.946,21.1,12.7,5.0
Ghana,29,7,5,1.0,GHS,18000.0,1597.0,11.5,43.5,0.602,11.6,6.4,144.0
United States,49,41,3,30.0,USD,100000.0,100000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,65,51,6,50.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Australia,49,18,5,25.0,AUD,150000.0,99156.0,1.55,34.3,0.946,21.1,12.7,5.0
United States,39,24,5,19.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,8,3,7.0,USD,158000.0,158000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,31,6,27.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,26,5,24.0,USD,192000.0,192000.0,1.0,41.5,0.927,16.4,13.6,21.0
Lebanon,29,51,0,50.0,USD,6000.0,6000.0,1.0,31.8,0.723,12.1,8.6,104.0
United States,49,36,5,12.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,29,8,7,3.0,EUR,17000.0,18205.0,0.93,35.2,0.906,16.7,10.7,30.0
United States,29,15,5,8.0,USD,169000.0,169000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,16,5,5.0,USD,96200.0,96200.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,14,6,6.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,17,6,17.0,EUR,6000.0,6425.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,21,6,5,3.0,USD,198000.0,198000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,18,6,17.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
China,21,8,5,2.0,CNY,100000.0,14069.0,7.3,38.2,0.788,15.2,8.1,74.0
United States,59,11,3,4.0,USD,67000.0,67000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,21,6,5,2.0,INR,3500000.0,42409.0,83.0,35.7,0.644,12.6,6.6,135.0
Netherlands,39,24,5,20.0,EUR,60000.0,64254.0,0.93,29.2,0.946,18.6,12.6,11.0
Australia,39,16,7,10.0,AUD,130000.0,85935.0,1.55,34.3,0.946,21.1,12.7,5.0
Brazil,29,11,5,5.0,BRL,170000.0,34489.0,5.01,48.9,0.76,15.6,8.3,84.0
Poland,39,15,6,15.0,PLN,192000.0,45938.0,4.3,30.2,0.881,15.9,13.2,35.0
United States,39,9,4,8.0,USD,80000.0,80000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,24,3,23.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,39,24,6,22.0,CHF,145000.0,159814.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,29,19,3,15.0,USD,187200.0,187200.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,26,4,15.0,CAD,125000.0,92939.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,49,31,2,28.0,USD,195000.0,195000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,25,5,20.0,EUR,106000.0,113515.0,0.93,31.7,0.95,17.3,14.3,7.0
Bangladesh,39,9,5,8.0,BDT,1105000.0,10273.0,109.5,32.4,0.67,11.9,7.4,130.0
United States,39,18,3,25.0,USD,50000.0,50000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,16,5,10.0,USD,174000.0,174000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,39,5,30.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,39,27,5,24.0,CHF,130000.0,143281.0,0.9,33.1,0.967,16.6,13.9,1.0
India,29,13,5,8.0,INR,420000.0,5089.0,83.0,35.7,0.644,12.6,6.6,135.0
Russian Federation,29,14,6,6.0,RUB,110000.0,1361.0,96.5,36.0,0.821,15.7,12.4,55.0
Thailand,29,16,6,9.0,USD,81120.0,81120.0,1.0,35.0,0.803,15.6,8.8,69.0
United States,49,43,5,29.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Norway,49,41,5,30.0,NOK,1300000.0,117797.0,10.7,27.7,0.966,18.6,13.1,2.0
Canada,39,17,5,12.0,CAD,210000.0,156138.0,1.36,33.3,0.935,16.0,13.9,16.0
Bulgaria,39,26,6,20.0,BGN,120000.0,65691.0,1.82,40.3,0.799,13.9,11.4,70.0
